# Value averages  
# Time            	momentum_x        	momentum_y        	momentum_z        
0.005	9.2017425914e-10	7.1668852967e-13	0.0000000000e+00
0.01	1.2786846798e-09	4.9956220208e-12	0.0000000000e+00
0.015	1.6006568602e-09	8.2591206098e-12	0.0000000000e+00
0.02	1.9056425442e-09	7.7982758038e-12	0.0000000000e+00
0.025	2.2008274843e-09	1.5782985335e-11	0.0000000000e+00
0.03	2.4902423612e-09	3.7991537855e-11	0.0000000000e+00
0.035	2.7752216434e-09	6.9157667150e-11	0.0000000000e+00
0.04	3.0569404391e-09	1.1510181166e-10	0.0000000000e+00
0.045	3.3364616389e-09	1.8453949842e-10	0.0000000000e+00
0.05	3.6143939825e-09	2.7375928021e-10	0.0000000000e+00
0.055	3.8908928584e-09	3.8194070112e-10	0.0000000000e+00
0.06	4.1659093389e-09	5.1364028963e-10	0.0000000000e+00
0.065	4.4400528931e-09	6.7491374447e-10	0.0000000000e+00
0.07	4.7169253059e-09	8.6978881593e-10	0.0000000000e+00
0.075	5.0035470707e-09	1.1034712967e-09	0.0000000000e+00
0.08	5.3078855062e-09	1.3795020270e-09	0.0000000000e+00
0.085	5.6371326963e-09	1.7000766443e-09	0.0000000000e+00
0.09	5.9967465287e-09	2.0665487506e-09	0.0000000000e+00
0.095	6.3887612025e-09	2.4786571403e-09	0.0000000000e+00
0.1	6.8128033967e-09	2.9378264486e-09	0.0000000000e+00
0.105	7.2662216120e-09	3.4382711080e-09	0.0000000000e+00
0.11	7.7427176757e-09	3.9738317015e-09	0.0000000000e+00
0.115	8.2349979022e-09	4.5372714515e-09	0.0000000000e+00
0.12	8.7355379647e-09	5.1212451707e-09	0.0000000000e+00
0.125	9.2370327381e-09	5.7180805787e-09	0.0000000000e+00
0.13	9.7344165313e-09	6.3207619630e-09	0.0000000000e+00
0.135	1.0224750634e-08	6.9247327617e-09	0.0000000000e+00
0.14	1.0706751453e-08	7.5243669044e-09	0.0000000000e+00
0.145	1.1179892242e-08	8.1152117990e-09	0.0000000000e+00
0.15	1.1644456802e-08	8.6938567138e-09	0.0000000000e+00
0.155	1.2101050007e-08	9.2579582929e-09	0.0000000000e+00
0.16	1.2550185293e-08	9.8062640921e-09	0.0000000000e+00
0.165	1.2992216621e-08	1.0338475337e-08	0.0000000000e+00
0.17	1.3427639698e-08	1.0854884270e-08	0.0000000000e+00
0.175	1.3854227198e-08	1.1356007673e-08	0.0000000000e+00
0.18	1.4270117748e-08	1.1842950235e-08	0.0000000000e+00
0.185	1.4673031050e-08	1.2315877130e-08	0.0000000000e+00
0.19	1.5067301393e-08	1.2775356879e-08	0.0000000000e+00
0.195	1.5453260867e-08	1.3222047598e-08	0.0000000000e+00
0.2	1.5831629301e-08	1.3656221371e-08	0.0000000000e+00
0.205	1.6208120109e-08	1.4078120808e-08	0.0000000000e+00
0.21	1.6576468401e-08	1.4487864114e-08	0.0000000000e+00
0.215	1.6934296318e-08	1.4885843766e-08	0.0000000000e+00
0.22	1.7281609244e-08	1.5272723556e-08	0.0000000000e+00
0.225	1.7618791833e-08	1.5649210879e-08	0.0000000000e+00
0.23	1.7946294060e-08	1.6015286415e-08	0.0000000000e+00
0.235	1.8256801203e-08	1.6370870687e-08	0.0000000000e+00
0.24	1.8553634717e-08	1.6716498794e-08	0.0000000000e+00
0.245	1.8838455708e-08	1.7052633698e-08	0.0000000000e+00
0.25	1.9112186387e-08	1.7379689716e-08	0.0000000000e+00
0.255	1.9375465837e-08	1.7697341686e-08	0.0000000000e+00
0.26	1.9628499370e-08	1.8003399523e-08	0.0000000000e+00
0.265	1.9870891795e-08	1.8296134381e-08	0.0000000000e+00
0.27	2.0102059363e-08	1.8575204332e-08	0.0000000000e+00
0.275	2.0326564374e-08	1.8842202726e-08	0.0000000000e+00
0.28	2.0548074166e-08	1.9099418854e-08	0.0000000000e+00
0.285	2.0767632760e-08	1.9347582381e-08	0.0000000000e+00
0.29	2.0986028973e-08	1.9587873571e-08	0.0000000000e+00
0.295	2.1203703244e-08	1.9820152693e-08	0.0000000000e+00
0.3	2.1420791106e-08	2.0045086486e-08	0.0000000000e+00
0.305	2.1637455956e-08	2.0262607678e-08	0.0000000000e+00
0.31	2.1855773992e-08	2.0473731614e-08	0.0000000000e+00
